device,pop_n,est_m1,knee_m,best_est,max_m,median_ms_establish_at_knee,median_ms_session_at_knee,median_ms_converged_at_knee,max_in_flight,max_peripheral_links,max_total_links,est_m2,est_m3,est_m4,est_m5,est_m6,est_m7,est_m8,est_m9,est_m10
6b819f64b80724df3023daf45b665c8a7b8554b7084fb1c0a2479c0fb08738a3,11,7.5,4,12.0,10,36400.5,,16050.0,6.0,7.0,14.0,9.0,3.5,12.0,9.5,2.5,6.0,5.0,10.0,3.5
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
929a022c32a603e468f7e8d6f049c13afafcedfd8bc87530ce14862acf478208,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,3,1.0,1,1.5,2,21810.0,,21813.5,1.0,2.0,4.0,1.5,,,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,4,0.0,2,2.0,3,28577.5,,43652.0,1.0,3.0,5.0,2.0,1.0,,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,5,0.0,3,2.5,4,21220.0,,22956.5,2.0,3.0,6.0,1.0,2.0,2.5,,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,6,4.5,1,4.5,5,61281.0,,36067.0,2.0,5.0,8.0,2.5,4.0,3.5,4.5,,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,7,5.0,6,7.5,6,30601.0,,49022.5,3.0,6.0,10.0,6.5,5.5,5.0,6.0,7.5,,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,8,6.5,7,8.0,7,27575.5,,47921.0,5.0,5.0,9.0,6.5,4.5,6.0,2.5,4.5,8.0,,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,9,3.0,1,3.5,8,34679.0,,15905.0,5.0,5.0,9.0,2.5,3.5,2.0,1.0,1.5,2.0,2.5,,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,10,4.5,1,4.5,9,24783.0,,24782.0,7.0,5.0,10.0,2.0,3.5,4.0,2.5,2.0,1.5,1.0,3.0,
b7d04acb9336998acae81afd20b42895b035f3fea83f1e2dd73d0f54799e7997,11,6.5,1,7.0,10,24105.0,23584.0,23265.0,7.0,6.0,12.0,1.5,4.5,6.5,3.0,5.0,6.5,7.0,4.5,2.5
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,,,,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,,,,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,6,3.5,3,5.5,5,39977.0,,70390.5,3.0,4.0,7.0,1.5,5.5,3.0,3.5,,,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,7,1.0,5,6.0,6,11780.5,,6466.5,3.0,5.0,9.0,2.5,1.5,4.0,6.0,2.0,,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,8,6.0,2,7.5,7,31416.0,,35724.0,4.0,7.0,12.0,7.5,5.0,3.5,2.5,1.5,4.5,,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,9,2.5,2,3.5,8,19301.0,,10186.5,5.0,7.0,11.0,3.5,2.5,1.0,3.0,0.5,3.5,1.5,,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,10,1.5,2,4.0,9,22758.0,,26922.5,4.0,7.0,11.0,3.5,1.5,3.5,2.5,1.0,1.0,4.0,4.0,
be3a5ef56240eb49764a9be72930f5a2fbc0c2fe99dbd04a13a19944a26ec4d8,11,3.0,1,3.0,10,4909.5,,3268.5,3.0,7.0,10.0,2.0,2.5,2.0,1.5,2.0,1.0,1.0,1.0,2.0
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,,,,,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,,,,,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0,,,,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,7,3.0,5,6.0,6,21345.5,,26862.0,3.0,5.0,9.0,4.0,4.5,4.5,6.0,3.5,,,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,8,5.0,2,6.0,7,26143.0,,32736.5,5.0,4.0,8.0,6.0,2.5,3.0,1.5,4.5,5.5,,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,9,0.5,3,4.0,8,20494.5,,25509.0,6.0,2.0,4.0,0.5,4.0,1.0,3.5,0.5,2.0,1.0,,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,10,0.0,1,0.0,9,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
c3cba74287fbc882e762e4746064c773a2c0aed36d1130c887e453fc29921e33,11,0.0,1,0.0,10,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0,,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,7,0.0,1,0.0,6,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,8,0.0,1,0.0,7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,9,0.0,1,0.0,8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,10,0.0,1,0.0,9,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
d5aedd63c7ff00e66c30d6b4274c2ec79b2c6e1afcb5553017621423d348ee12,11,0.0,1,0.0,10,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,,,,,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,,,,,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0,,,,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,7,0.0,1,0.0,6,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,8,0.0,1,0.0,7,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,9,5.0,1,5.0,8,32771.5,,18456.5,5.0,11.0,17.0,5.0,4.5,3.5,5.0,1.5,4.0,4.0,,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,10,4.0,7,9.5,9,57728.0,,38307.5,6.0,13.0,20.0,6.0,1.5,2.5,5.5,4.0,9.5,8.5,4.0,
dbac04ef34aafdafa11efab6d97e02a98e208d310239517c321d1fe02e268fef,11,6.0,4,7.5,10,38002.0,,24242.5,5.0,9.0,14.0,6.5,4.0,7.5,7.5,4.0,6.5,5.0,7.5,4.0
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,2,0.0,1,0.0,1,,,,,,,,,,,,,,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,3,0.0,1,0.0,2,,,,,,,0.0,,,,,,,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,4,0.0,1,0.0,3,,,,,,,0.0,0.0,,,,,,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,5,0.0,1,0.0,4,,,,,,,0.0,0.0,0.0,,,,,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,6,0.0,1,0.0,5,,,,,,,0.0,0.0,0.0,0.0,,,,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,7,0.0,1,0.0,6,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,8,4.5,5,7.0,7,52615.5,,26979.0,4.0,6.0,10.0,5.5,3.5,5.0,7.0,6.5,3.0,,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,9,3.0,2,5.5,8,33480.0,,35353.5,5.0,6.0,12.0,5.5,4.0,1.0,3.0,2.5,5.5,3.5,,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,10,4.0,4,11.5,9,66147.0,,66147.0,5.0,8.0,15.0,4.0,5.5,11.5,8.5,3.0,7.5,9.5,9.0,
f5aee069c6a61bf8ad6c908af35356d89cdaf26ec0246f69993a9cf9414a619c,11,3.0,9,10.0,10,31323.0,,27168.0,5.0,7.0,13.0,8.5,4.5,6.0,4.0,6.0,2.5,6.0,10.0,6.5
